category,subject,commission_cc_pct,commission_dbs_pct,commission_edbs_pct,commission_fbs_pct,commission_fbw_pct,commission_booking_pct
Красота,Прокладки от пота,42.5,45.0,3.0,42.0,37.5,42.5
Спортивный товар,Кардиодатчики,37.5,45.0,3.0,41.0,36.5,37.5
Красота,Волосы для наращивания,42.5,45.0,3.0,46.0,41.5,42.5
Игрушки,Кукольные домики,38.5,45.0,3.0,38.0,33.5,38.5
Здоровье,Шприцы медицинские,42.5,45.0,3.0,42.0,37.5,42.5
Здоровье,Кольца для похудения,42.5,45.0,3.0,38.5,34.0,42.5
Аксессуары,Косточки для воротника рубашки,44.5,45.0,3.0,44.0,39.5,44.5
Красота,Инструменты для чистки ушей,42.5,45.0,3.0,42.0,37.5,42.5
Товары для взрослых,Приспособления для интимной косметики,39.5,45.0,3.0,43.0,38.5,39.5
Товары для животных,Ватные палочки для животных,31.5,35.0,3.0,30.0,25.5,31.5
Мебель мягкая,Комплекты мягкой мебели,36.5,45.0,3.0,31.0,26.5,36.5
Техника для кухни,Тостеры,34.5,35.0,3.0,35.0,30.5,34.5
Посуда и инвентарь,Орехоколы,39.5,45.0,3.0,43.0,38.5,39.5
Красота,Эссенции,42.5,45.0,3.0,42.0,37.5,42.5
Игрушки,Бизиборды,38.5,45.0,3.0,40.0,35.5,38.5
Игрушки,Мозаики,38.5,45.0,3.0,40.0,35.5,38.5
Аксессуары для волос,Невидимки,44.5,45.0,3.0,38.0,33.5,44.5
Электроинструмент и оборудование,Молотки отбойные,41.5,45.0,3.0,41.0,36.5,41.5
Спортивные аксессуары,Поводья,39.5,45.0,3.0,39.0,34.5,39.5
Продукты,Торты,4.5,4.5,3.0,27.0,22.5,4.5
Автозапчасти,Тросики сцепления,36.5,45.0,3.0,40.0,35.5,36.5
Профессиональные музыкальные инструменты,Кабасы,38.5,45.0,3.0,41.0,36.5,38.5
Автозапчасти,Ролики натяжителя,36.5,45.0,3.0,40.0,35.5,36.5
Аксессуары для электроники,Запчасти для варочных панелей,38.5,45.0,3.0,42.0,37.5,38.5
Автоаксессуары и дополнительное оборудование,Дорожные знаки,36.5,45.0,3.0,40.0,35.5,36.5
Продукты,Сосиски,4.5,4.5,3.0,26.0,21.5,4.5
Автозапчасти,Поршни переключения,36.5,45.0,3.0,31.0,26.5,36.5
Продукты,Кисели,4.5,4.5,3.0,35.0,30.5,4.5
Рукоделие,Шпульки для швейных машин,39.5,45.0,3.0,34.0,29.5,39.5
Спортивный товар,Прессы для приманки,37.5,45.0,3.0,31.0,26.5,37.5
Аксессуары для электроники,Кронштейны для телевизоров,39.5,45.0,3.0,38.0,33.5,39.5
Хозяйственные товары,Скребки для посуды,39.5,45.0,3.0,39.0,34.5,39.5
Товары для малышей,Постельное белье для малышей,36.5,45.0,3.0,36.0,31.5,36.5
Товары для животных,Гамаки для животных,31.5,35.0,3.0,35.0,30.5,31.5
Хозяйственные товары,Уход за разделочными досками,39.5,45.0,3.0,34.0,29.5,39.5
Аксессуары,Чемоданы,44.5,45.0,3.0,38.0,33.5,44.5
Садовые инструменты и полив,Шланги садовые,39.5,45.0,3.0,36.0,31.5,39.5
Спортивный товар,Футы,37.5,45.0,3.0,37.0,32.5,37.5
Одежда для малышей,Жилеты для малышей,44.5,45.0,3.0,48.0,43.5,44.5
Спортивный товар,Шкурки для самокатов,37.5,45.0,3.0,37.0,32.5,37.5
Канцелярские товары,Подставки для луп,39.5,45.0,3.0,43.0,38.5,39.5
Автоаксессуары и дополнительное оборудование,Накладки на закраину диска,36.5,45.0,3.0,37.5,33.0,36.5
Аксессуары для электроники,Элементы питания,42.5,45.0,3.0,40.0,35.5,42.5
Все для садоводства,Штекеры садовые,39.5,45.0,3.0,34.5,33.5,39.5
